날짜,저수율
2014-01-01,73.5
2014-01-02,74.5
2014-01-03,75.7
2014-01-04,76.5
2014-01-05,77.1
2014-01-06,77.7
2014-01-07,78.3
2014-01-08,79.0
2014-01-09,79.6
2014-01-10,80.2
2014-01-11,80.8
2014-01-12,81.4
2014-01-13,81.9
2014-01-14,82.3
2014-01-15,82.7
2014-01-16,83.1
2014-01-17,83.3
2014-01-18,83.3
2014-01-19,83.3
2014-01-20,84.2
2014-01-21,85.3
2014-01-22,85.7
2014-01-23,85.9
2014-01-24,86.1
2014-01-25,86.5
2014-01-26,87.3
2014-01-27,88.2
2014-01-28,88.7
2014-01-29,89.3
2014-01-30,90.1
2014-01-31,91.1
2014-02-01,92.3
2014-02-02,93.6
2014-02-03,95.2
2014-02-04,98.0
2014-02-05,100.0
2014-02-06,100.0
2014-02-07,100.0
2014-02-08,100.0
2014-02-09,100.0
2014-02-10,100.0
2014-02-11,100.0
2014-02-12,100.0
2014-02-13,100.0
2014-02-14,100.0
2014-02-15,100.0
2014-02-16,100.0
2014-02-17,100.0
2014-02-18,100.0
2014-02-19,100.0
2014-02-20,100.0
2014-02-21,100.0
2014-02-22,100.0
2014-02-23,100.0
2014-02-24,100.0
2014-02-25,100.0
2014-02-26,100.0
2014-02-27,100.0
2014-02-28,100.0
2014-03-01,100.0
2014-03-02,100.0
2014-03-03,100.0
2014-03-04,100.0
2014-03-05,100.0
2014-03-06,100.0
2014-03-07,100.0
2014-03-08,100.0
2014-03-09,100.0
2014-03-10,100.0
2014-03-11,100.0
2014-03-12,100.0
2014-03-13,100.0
2014-03-14,100.0
2014-03-15,100.0
2014-03-16,100.0
2014-03-17,100.0
2014-03-18,100.0
2014-03-19,100.0
2014-03-20,100.0
2014-03-21,100.0
2014-03-22,100.0
2014-03-23,100.0
2014-03-24,100.0
2014-03-25,100.0
2014-03-26,100.0
2014-03-27,100.0
2014-03-28,100.0
2014-03-29,100.0
2014-03-30,100.0
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,100.0
2014-04-03,100.0
2014-04-04,100.0
2014-04-05,100.0
2014-04-06,100.0
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,100.0
2014-04-10,99.9
2014-04-11,99.8
2014-04-12,99.6
2014-04-13,99.3
2014-04-14,98.9
2014-04-15,98.0
2014-04-16,96.8
2014-04-17,95.8
2014-04-18,94.8
2014-04-19,94.1
2014-04-20,93.5
2014-04-21,92.7
2014-04-22,91.5
2014-04-23,90.0
2014-04-24,88.6
2014-04-25,87.2
2014-04-26,85.9
2014-04-27,84.7
2014-04-28,83.8
2014-04-29,83.2
2014-04-30,82.7
2014-05-01,82.2
2014-05-02,81.7
2014-05-03,80.9
2014-05-04,79.8
2014-05-05,78.7
2014-05-06,77.6
2014-05-07,76.7
2014-05-08,75.9
2014-05-09,75.5
2014-05-10,75.5
2014-05-11,75.5
2014-05-12,73.2
2014-05-13,69.9
2014-05-14,68.4
2014-05-15,67.2
2014-05-16,65.8
2014-05-17,63.6
2014-05-18,61.2
2014-05-19,59.4
2014-05-20,57.9
2014-05-21,56.0
2014-05-22,53.2
2014-05-23,50.4
2014-05-24,48.6
2014-05-25,47.3
2014-05-26,46.6
2014-05-27,46.0
2014-05-28,44.8
2014-05-29,43.5
2014-05-30,42.8
2014-05-31,42.0
2014-06-01,38.9
2014-06-02,35.9
2014-06-03,35.1
2014-06-04,34.6
2014-06-05,34.3
2014-06-06,34.0
2014-06-07,30.5
2014-06-08,27.3
2014-06-09,27.3
2014-06-10,27.4
2014-06-11,27.6
2014-06-12,27.8
2014-06-13,28.8
2014-06-14,29.6
2014-06-15,29.4
2014-06-16,28.8
2014-06-17,27.8
2014-06-18,23.5
2014-06-19,19.8
2014-06-20,19.9
2014-06-21,20.3
2014-06-22,20.8
2014-06-23,21.4
2014-06-24,22.8
2014-06-25,24.4
2014-06-26,25.7
2014-06-27,26.8
2014-06-28,27.3
2014-06-29,27.3
2014-06-30,27.2
2014-07-01,27.0
2014-07-02,26.9
2014-07-03,26.6
2014-07-04,26.3
2014-07-05,26.1
2014-07-06,26.1
2014-07-07,26.1
2014-07-08,26.8
2014-07-09,27.6
2014-07-10,27.9
2014-07-11,28.1
2014-07-12,28.1
2014-07-13,27.9
2014-07-14,27.8
2014-07-15,27.6
2014-07-16,27.4
2014-07-17,27.2
2014-07-18,26.9
2014-07-19,26.8
2014-07-20,27.0
2014-07-21,27.4
2014-07-22,27.7
2014-07-23,28.0
2014-07-24,29.0
2014-07-25,30.5
2014-07-26,32.5
2014-07-27,34.8
2014-07-28,36.6
2014-07-29,37.7
2014-07-30,38.4
2014-07-31,38.8
2014-08-01,39.2
2014-08-02,40.5
2014-08-03,42.8
2014-08-04,46.0
2014-08-05,51.8
2014-08-06,59.7
2014-08-07,69.1
2014-08-08,77.9
2014-08-09,84.8
2014-08-10,90.7
2014-08-11,93.2
2014-08-12,93.2
2014-08-13,93.2
2014-08-14,96.6
2014-08-15,100.0
2014-08-16,100.0
2014-08-17,100.0
2014-08-18,100.0
2014-08-19,100.0
2014-08-20,100.0
2014-08-21,100.0
2014-08-22,100.0
2014-08-23,100.0
2014-08-24,100.0
2014-08-25,100.0
2014-08-26,100.0
2014-08-27,100.0
2014-08-28,100.0
2014-08-29,100.0
2014-08-30,100.0
2014-08-31,100.0
2014-09-01,100.0
2014-09-02,100.0
2014-09-03,100.0
2014-09-04,100.0
2014-09-05,100.0
2014-09-06,100.0
2014-09-07,100.0
2014-09-08,100.0
2014-09-09,100.0
2014-09-10,100.0
2014-09-11,100.0
2014-09-12,100.0
2014-09-13,100.0
2014-09-14,100.0
2014-09-15,100.0
2014-09-16,100.0
2014-09-17,100.0
2014-09-18,100.0
2014-09-19,100.0
2014-09-20,100.0
2014-09-21,100.0
2014-09-22,100.0
2014-09-23,100.0
2014-09-24,100.0
2014-09-25,100.0
2014-09-26,100.0
2014-09-27,100.0
2014-09-28,100.0
2014-09-29,100.0
2014-09-30,100.0
2014-10-01,100.0
2014-10-02,100.0
2014-10-03,100.0
2014-10-04,100.0
2014-10-05,100.0
2014-10-06,100.0
2014-10-07,100.0
2014-10-08,100.0
2014-10-09,100.0
2014-10-10,100.0
2014-10-11,100.0
2014-10-12,100.0
2014-10-13,100.0
2014-10-14,100.0
2014-10-15,100.0
2014-10-16,100.0
2014-10-17,100.0
2014-10-18,100.0
2014-10-19,100.0
2014-10-20,100.0
2014-10-21,100.0
2014-10-22,100.0
2014-10-23,100.0
2014-10-24,100.0
2014-10-25,100.0
2014-10-26,100.0
2014-10-27,100.0
2014-10-28,100.0
2014-10-29,100.0
2014-10-30,100.0
2014-10-31,100.0
2014-11-01,100.0
2014-11-02,100.0
2014-11-03,100.0
2014-11-04,100.0
2014-11-05,100.0
2014-11-06,100.0
2014-11-07,100.0
2014-11-08,100.0
2014-11-09,100.0
2014-11-10,100.0
2014-11-11,100.0
2014-11-12,100.0
2014-11-13,100.0
2014-11-14,100.0
2014-11-15,100.0
2014-11-16,100.0
2014-11-17,100.0
2014-11-18,100.0
2014-11-19,100.0
2014-11-20,100.0
2014-11-21,100.0
2014-11-22,100.0
2014-11-23,100.0
2014-11-24,100.0
2014-11-25,100.0
2014-11-26,100.0
2014-11-27,100.0
2014-11-28,100.0
2014-11-29,100.0
2014-11-30,100.0
2014-12-01,100.0
2014-12-02,100.0
2014-12-03,100.0
2014-12-04,100.0
2014-12-05,100.0
2014-12-06,100.0
2014-12-07,100.0
2014-12-08,100.0
2014-12-09,100.0
2014-12-10,100.0
2014-12-11,100.0
2014-12-12,100.0
2014-12-13,100.0
2014-12-14,100.0
2014-12-15,100.0
2014-12-16,100.0
2014-12-17,100.0
2014-12-18,100.0
2014-12-19,100.0
2014-12-20,100.0
2014-12-21,100.0
2014-12-22,100.0
2014-12-23,100.0
2014-12-24,100.0
2014-12-25,100.0
2014-12-26,100.0
2014-12-27,100.0
